30667A1_1_321 ;30667A1_1_321_15;10836_UARFCN                                      ;         1
31144A1_1     ;31144A1_1_1     ;3085_UARFCN                                       ;         1
31144A1_1     ;31144A1_1_2     ;3085_UARFCN                                       ;         1
31144A1_1     ;31144A1_1_3     ;3085_UARFCN                                       ;         1
30267A1_1_214 ;30267A1_1_214_3 ;3085_UARFCN                                       ;         1
30267A1_1_214 ;30267A1_1_214_2 ;3085_UARFCN                                       ;         1
30267A1_1_214 ;30267A1_1_214_1 ;3085_UARFCN                                       ;         1
30263F1_1_119 ;30263F1_1_119_1 ;3085_UARFCN                                       ;         1
30263F1_1_119 ;30263F1_1_119_2 ;3085_UARFCN                                       ;         1
30263F1_1_119 ;30263F1_1_119_3 ;3085_UARFCN                                       ;         1
30641F1_1_114 ;30641F1_1_114_1 ;3085_UARFCN                                       ;         1
30641F1_1_114 ;30641F1_1_114_2 ;3085_UARFCN                                       ;         1
30641F1_1_114 ;30641F1_1_114_3 ;3085_UARFCN                                       ;         1
32336F1_1_109 ;32336F1_1_109_1 ;3085_UARFCN                                       ;         1
32336F1_1_109 ;32336F1_1_109_2 ;3085_UARFCN                                       ;         1
32336F1_1_109 ;32336F1_1_109_3 ;3085_UARFCN                                       ;         1
31102A1_1_212 ;31102A1_1_212_14;10836_UARFCN                                      ;         1
31102A1_1_212 ;31102A1_1_212_13;10836_UARFCN                                      ;         1
31102A1_1_212 ;31102A1_1_212_15;10836_UARFCN                                      ;         1
31102A1_1_212 ;31102A1_1_212_7 ;3085_UARFCN                                       ;         1
31102A1_1_212 ;31102A1_1_212_8 ;3085_UARFCN                                       ;         1
31102A1_1_212 ;31102A1_1_212_9 ;3085_UARFCN                                       ;         1
30216H1_1_315 ;30216H1_1_315_7 ;3085_UARFCN                                       ;         1
30216H1_1_315 ;30216H1_1_315_8 ;3085_UARFCN                                       ;         1
30216H1_1_315 ;30216H1_1_315_9 ;3085_UARFCN                                       ;         1
30216H1_1_315 ;30216H1_1_315_13;10836_UARFCN                                      ;         1
30216H1_1_315 ;30216H1_1_315_14;10836_UARFCN                                      ;         1
30216H1_1_315 ;30216H1_1_315_15;10836_UARFCN                                      ;         1
30338F1_1_113 ;30338F1_1_113_7 ;3085_UARFCN                                       ;         1
30338F1_1_113 ;30338F1_1_113_8 ;3085_UARFCN                                       ;         1
30338F1_1_113 ;30338F1_1_113_9 ;3085_UARFCN                                       ;         1
30338F1_1_113 ;30338F1_1_113_13;10836_UARFCN                                      ;         1
30338F1_1_113 ;30338F1_1_113_14;10836_UARFCN                                      ;         1
30338F1_1_113 ;30338F1_1_113_15;10836_UARFCN                                      ;         1
31092A1_1_109 ;31092A1_1_109_1 ;3085_UARFCN                                       ;         1
31092A1_1_109 ;31092A1_1_109_2 ;3085_UARFCN                                       ;         1
31092A1_1_109 ;31092A1_1_109_3 ;3085_UARFCN                                       ;         1
30017C1_1_114 ;30017C1_1_114_14;10836_UARFCN                                      ;         1
30017C1_1_114 ;30017C1_1_114_15;10836_UARFCN                                      ;         1
30017C1_1_114 ;30017C1_1_114_7 ;3085_UARFCN                                       ;         1
30017C1_1_114 ;30017C1_1_114_8 ;3085_UARFCN                                       ;         1
30017C1_1_114 ;30017C1_1_114_9 ;3085_UARFCN                                       ;         1
30017C1_1_114 ;30017C1_1_114_13;10836_UARFCN                                      ;         1
30320F1_1_414 ;30320F1_1_414_1 ;3085_UARFCN                                       ;         1
30320F1_1_414 ;30320F1_1_414_2 ;3085_UARFCN                                       ;         1
30320F1_1_414 ;30320F1_1_414_3 ;3085_UARFCN                                       ;         1
31150A1_1     ;31150A1_1_1     ;3085_UARFCN                                       ;         1
31150A1_1     ;31150A1_1_2     ;3085_UARFCN                                       ;         1
31150A1_1     ;31150A1_1_3     ;3085_UARFCN                                       ;         1
31132A1_1     ;31132A1_1_1     ;3085_UARFCN                                       ;         1
31132A1_1     ;31132A1_1_3     ;3085_UARFCN                                       ;         1
31132A1_1     ;31132A1_1_2     ;3085_UARFCN                                       ;         1
31136A1_1     ;31136A1_1_2     ;3085_UARFCN                                       ;         1
31136A1_1     ;31136A1_1_1     ;3085_UARFCN                                       ;         1
31136A1_1     ;31136A1_1_3     ;3085_UARFCN                                       ;         1
31128A1_1_315 ;31128A1_1_315_1 ;3085_UARFCN                                       ;         1
31128A1_1_315 ;31128A1_1_315_3 ;3085_UARFCN                                       ;         1
31128A1_1_315 ;31128A1_1_315_2 ;3085_UARFCN                                       ;         1
31089A1_1     ;31089A1_1_1     ;3085_UARFCN                                       ;         1
31089A1_1     ;31089A1_1_2     ;3085_UARFCN                                       ;         1
31089A1_1     ;31089A1_1_3     ;3085_UARFCN                                       ;         1
32006W1_1_116 ;32006W1_1_116_1 ;3085_UARFCN                                       ;         1
32006W1_1_116 ;32006W1_1_116_2 ;3085_UARFCN                                       ;         1
32006W1_1_116 ;32006W1_1_116_3 ;3085_UARFCN                                       ;         1
30677F1_1_209 ;30677F1_1_209_1 ;3085_UARFCN                                       ;         1
30677F1_1_209 ;30677F1_1_209_3 ;3085_UARFCN                                       ;         1
30677F1_1_209 ;30677F1_1_209_2 ;3085_UARFCN                                       ;         1
30116F1_1_314 ;30116F1_1_314_1 ;3085_UARFCN                                       ;         1
30116F1_1_314 ;30116F1_1_314_2 ;3085_UARFCN                                       ;         1
30116F1_1_314 ;30116F1_1_314_3 ;3085_UARFCN                                       ;         1
30041F1_1_313 ;30041F1_1_313_7 ;3085_UARFCN                                       ;         1
30041F1_1_313 ;30041F1_1_313_8 ;3085_UARFCN                                       ;         1
30041F1_1_313 ;30041F1_1_313_9 ;3085_UARFCN                                       ;         1
30041F1_1_313 ;30041F1_1_313_13;10836_UARFCN                                      ;         1
30041F1_1_313 ;30041F1_1_313_14;10836_UARFCN                                      ;         1
30041F1_1_313 ;30041F1_1_313_15;10836_UARFCN                                      ;         1
30337F1_1_312 ;30337F1_1_312_13;10836_UARFCN                                      ;         1
30337F1_1_312 ;30337F1_1_312_14;10836_UARFCN                                      ;         1
30337F1_1_312 ;30337F1_1_312_15;10836_UARFCN                                      ;         1
30337F1_1_312 ;30337F1_1_312_9 ;3085_UARFCN                                       ;         1
30337F1_1_312 ;30337F1_1_312_7 ;3085_UARFCN                                       ;         1
30337F1_1_312 ;30337F1_1_312_8 ;3085_UARFCN                                       ;         1
31148A1_1_319 ;31148A1_1_319_1 ;3085_UARFCN                                       ;         1
31148A1_1_319 ;31148A1_1_319_2 ;3085_UARFCN                                       ;         1
31148A1_1_319 ;31148A1_1_319_3 ;3085_UARFCN                                       ;         1
30104C1_1_122 ;30104C1_1_122_9 ;3085_UARFCN                                       ;         1
30104C1_1_122 ;30104C1_1_122_8 ;3085_UARFCN                                       ;         1
30104C1_1_122 ;30104C1_1_122_13;10836_UARFCN                                      ;         1
30104C1_1_122 ;30104C1_1_122_14;10836_UARFCN                                      ;         1
30104C1_1_122 ;30104C1_1_122_15;10836_UARFCN                                      ;         1
30104C1_1_122 ;30104C1_1_122_7 ;3085_UARFCN                                       ;         1
30271F1_1_315 ;30271F1_1_315_3 ;3085_UARFCN                                       ;         1
30271F1_1_315 ;30271F1_1_315_1 ;3085_UARFCN                                       ;         1
30271F1_1_315 ;30271F1_1_315_2 ;3085_UARFCN                                       ;         1
